"cod_ibge","nome","classe","subjacente","proc_grau","bens_industriais","source"
"5102011","5102011.Conserto de automóvel","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102013","5102013.Estacionamento","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102015","5102015.Pedágio","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102019","5102019.Lubrificação e lavagem","servico",NA,NA,FALSE,"auto: item-prefix inheritance"
"5102020","5102020.Automóvel usado","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5102033","5102033.Reboque","servico",NA,NA,FALSE,"auto: item-prefix inheritance"
"5102037","5102037.Pintura de veículo","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102051","5102051.Aluguel de veículo","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102053","5102053.Motocicleta","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5104001","5104001.Gasolina","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5104002","5104002.Etanol","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5104003","5104003.Óleo diesel","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5104005","5104005.Gás veicular","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101001","6101001.Anti-infeccioso e antibiótico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101002","6101002.Analgésico e antitérmico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101003","6101003.Anti-inflamatório e antirreumático","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101004","6101004.Antigripal e antitussígeno","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101006","6101006.Dermatológico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101007","6101007.Antialérgico e broncodilatador","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101009","6101009.Gastroprotetor","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101010","6101010.Vitamina e fortificante","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101011","6101011.Hormonal","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101013","6101013.Psicotrópico e anorexígeno","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101014","6101014.Hipotensor e hipocolesterolêmico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101051","6101051.Oftalmológico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101064","6101064.Antidiabético","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6101148","6101148.Neurológico","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"6102001","6102001.Lente de grau","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"6102002","6102002.Armação de óculos","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"6102003","6102003.Óculos sem grau","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"6102008","6102008.Lente de contato","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"6102011","6102011.Lentes de óculos e de contato","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"6102012","6102012.Óculos de grau","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"6201002","6201002.Médico","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
