date,series_id,value,release_date,vintage_date
2003-05-01,2,108.708531,2026-07-17,2026-07-17
2003-06-01,2,108.827014,2026-07-17,2026-07-17
2003-07-01,2,108.945498,2026-07-17,2026-07-17
2003-08-01,2,109.36019,2026-07-17,2026-07-17
2003-09-01,2,109.71564,2026-07-17,2026-07-17
2003-10-01,2,109.597156,2026-07-17,2026-07-17
2003-11-01,2,109.300948,2026-07-17,2026-07-17
2003-12-01,2,109.182464,2026-07-17,2026-07-17
2004-01-01,2,109.71564,2026-07-17,2026-07-17
2004-02-01,2,110.308057,2026-07-17,2026-07-17
2004-03-01,2,111.018957,2026-07-17,2026-07-17
2004-04-01,2,111.374408,2026-07-17,2026-07-17
2004-05-01,2,112.026066,2026-07-17,2026-07-17
2004-06-01,2,112.381517,2026-07-17,2026-07-17
2004-07-01,2,112.203791,2026-07-17,2026-07-17
2004-08-01,2,112.263033,2026-07-17,2026-07-17
2004-09-01,2,112.5,2026-07-17,2026-07-17
2004-10-01,2,113.092417,2026-07-17,2026-07-17
2004-11-01,2,113.151659,2026-07-17,2026-07-17
2004-12-01,2,112.736967,2026-07-17,2026-07-17
2005-01-01,2,112.973934,2026-07-17,2026-07-17
2005-02-01,2,113.625592,2026-07-17,2026-07-17
2005-03-01,2,114.514218,2026-07-17,2026-07-17
2005-04-01,2,115.28436,2026-07-17,2026-07-17
2005-05-01,2,115.165877,2026-07-17,2026-07-17
2005-06-01,2,115.225118,2026-07-17,2026-07-17
2005-07-01,2,115.758294,2026-07-17,2026-07-17
2005-08-01,2,116.350711,2026-07-17,2026-07-17
2005-09-01,2,117.772512,2026-07-17,2026-07-17
2005-10-01,2,118.009479,2026-07-17,2026-07-17
2005-11-01,2,117.061611,2026-07-17,2026-07-17
2005-12-01,2,116.587678,2026-07-17,2026-07-17
2006-01-01,2,117.476303,2026-07-17,2026-07-17
2006-02-01,2,117.71327,2026-07-17,2026-07-17
2006-03-01,2,118.364929,2026-07-17,2026-07-17
2006-04-01,2,119.372038,2026-07-17,2026-07-17
2006-05-01,2,119.964455,2026-07-17,2026-07-17
2006-06-01,2,120.201422,2026-07-17,2026-07-17
