series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
67,US,Prices,CPI,"CPI-U: Meats, Poultry, Fish, and Eggs (Index)",NSA,M,"CPI-U: Meats, Poultry, Fish, and Eggs - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto",,CPIUS:food_meats
68,US,Prices,CPI,"CPI-U: Meats, Poultry, Fish, and Eggs (Index)",SA,M,"CPI-U: Meats, Poultry, Fish, and Eggs - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto",,CPIUS:food_meats
69,US,Prices,CPI,"CPI-U: Meats, Poultry, Fish, and Eggs (Index)",Weight,M,"CPI-U: Meats, Poultry, Fish, and Eggs - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_meats
70,US,Prices,CPI,CPI-U: Nonalcoholic Beverages and Beverage Materials (Index),NSA,M,CPI-U: Nonalcoholic Beverages and Beverage Materials - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_nonalc_bev
71,US,Prices,CPI,CPI-U: Nonalcoholic Beverages and Beverage Materials (Index),SA,M,CPI-U: Nonalcoholic Beverages and Beverage Materials - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_nonalc_bev
72,US,Prices,CPI,CPI-U: Nonalcoholic Beverages and Beverage Materials (Index),Weight,M,"CPI-U: Nonalcoholic Beverages and Beverage Materials - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_nonalc_bev
73,US,Prices,CPI,CPI-U: Other Food at Home (Index),NSA,M,CPI-U: Other Food at Home - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_other_home
74,US,Prices,CPI,CPI-U: Other Food at Home (Index),SA,M,CPI-U: Other Food at Home - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_other_home
75,US,Prices,CPI,CPI-U: Other Food at Home (Index),Weight,M,"CPI-U: Other Food at Home - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_other_home
76,US,Prices,CPI,CPI-U: Fuel Oil (Index),NSA,M,CPI-U: Fuel Oil - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:fuel_oil
77,US,Prices,CPI,CPI-U: Fuel Oil (Index),SA,M,CPI-U: Fuel Oil - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:fuel_oil
78,US,Prices,CPI,CPI-U: Fuel Oil (Index),Weight,M,"CPI-U: Fuel Oil - Weight (Relative Importance, Table 6 BLS)",,CPIUS:fuel_oil
79,US,Prices,CPI,CPI-U: Gasoline (all types) (Index),NSA,M,CPI-U: Gasoline (all types) - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:gasoline
80,US,Prices,CPI,CPI-U: Gasoline (all types) (Index),SA,M,CPI-U: Gasoline (all types) - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:gasoline
81,US,Prices,CPI,CPI-U: Gasoline (all types) (Index),Weight,M,"CPI-U: Gasoline (all types) - Weight (Relative Importance, Table 6 BLS)",,CPIUS:gasoline
82,US,Prices,CPI,CPI-U: Hospital Services (Index),NSA,M,CPI-U: Hospital Services - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:hospital_services
83,US,Prices,CPI,CPI-U: Hospital Services (Index),SA,M,CPI-U: Hospital Services - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:hospital_services
84,US,Prices,CPI,CPI-U: Hospital Services (Index),Weight,M,"CPI-U: Hospital Services - Weight (Relative Importance, Table 6 BLS)",,CPIUS:hospital_services
85,US,Prices,CPI,CPI-U: Lodging Away from Home (Index),NSA,M,CPI-U: Lodging Away from Home - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:lodging_away
86,US,Prices,CPI,CPI-U: Lodging Away from Home (Index),SA,M,CPI-U: Lodging Away from Home - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:lodging_away
